Player: 李昌镐, Date: 2005-12-26, Rating: 3510, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 李昌镐, Date: 2005-10-09, Rating: 3514, Black and White: 执白, Result: 胜, Opponent: 睦镇硕
Player: 李昌镐, Date: 2005-10-06, Rating: 3514, Black and White: 执黑, Result: 负, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2005-10-04, Rating: 3514, Black and White: 执黑, Result: 负, Opponent: 朴永训
Player: 李昌镐, Date: 2005-09-30, Rating: 3514, Black and White: 执黑, Result: 胜, Opponent: 古力
Player: 李昌镐, Date: 2005-09-28, Rating: 3515, Black and White: 执白, Result: 胜, Opponent: 李熙星
Player: 李昌镐, Date: 2005-09-23, Rating: 3515, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 2005-09-21, Rating: 3515, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2005-09-15, Rating: 3515, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 2005-09-08, Rating: 3516, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2005-09-04, Rating: 3516, Black and White: 执白, Result: 负, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2005-09-01, Rating: 3516, Black and White: 执黑, Result: 胜, Opponent: 金荣三
Player: 李昌镐, Date: 2005-08-23, Rating: 3516, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
Player: 李昌镐, Date: 2005-08-14, Rating: 3516, Black and White: 执黑, Result: 负, Opponent: 王铭琬
Player: 李昌镐, Date: 2005-08-09, Rating: 3517, Black and White: 执白, Result: 胜, Opponent: 赵汉乘
Player: 李昌镐, Date: 2005-08-07, Rating: 3517, Black and White: 执白, Result: 负, Opponent: 朴永训
Player: 李昌镐, Date: 2005-08-04, Rating: 3517, Black and White: 执黑, Result: 胜, Opponent: 李圣宰
Player: 李昌镐, Date: 2005-08-01, Rating: 3517, Black and White: 执黑, Result: 胜, Opponent: 安达勋
Player: 李昌镐, Date: 2005-07-29, Rating: 3517, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 李昌镐, Date: 2005-07-27, Rating: 3517, Black and White: 执白, Result: 胜, Opponent: 尹炫皙
Player: 李昌镐, Date: 2005-07-20, Rating: 3517, Black and White: 执白, Result: 胜, Opponent: 李映九
Player: 李昌镐, Date: 2005-07-17, Rating: 3518, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李昌镐, Date: 2005-07-15, Rating: 3518, Black and White: 执黑, Result: 胜, Opponent: 玉得真
Player: 李昌镐, Date: 2005-07-11, Rating: 3518, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2005-07-08, Rating: 3518, Black and White: 执白, Result: 胜, Opponent: 玉得真
Player: 李昌镐, Date: 2005-07-06, Rating: 3518, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2005-07-01, Rating: 3518, Black and White: 执白, Result: 胜, Opponent: 温昭珍
Player: 李昌镐, Date: 2005-06-28, Rating: 3517, Black and White: 执白, Result: 胜, Opponent: 金主镐
Player: 李昌镐, Date: 2005-06-26, Rating: 3517, Black and White: 执黑, Result: 负, Opponent: 宋泰坤
Player: 李昌镐, Date: 2005-06-20, Rating: 3517, Black and White: 执黑, Result: 胜, Opponent: 玉得真
Player: 李昌镐, Date: 2005-06-15, Rating: 3517, Black and White: 执黑, Result: 负, Opponent: 张栩
Player: 李昌镐, Date: 2005-06-10, Rating: 3517, Black and White: 执白, Result: 负, Opponent: 玉得真
Player: 李昌镐, Date: 2005-06-07, Rating: 3517, Black and White: 执黑, Result: 胜, Opponent: 安祚永
Player: 李昌镐, Date: 2005-06-02, Rating: 3518, Black and White: 执白, Result: 胜, Opponent: 吴圭喆
Player: 李昌镐, Date: 2005-05-22, Rating: 3518, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 李昌镐, Date: 2005-05-18, Rating: 3518, Black and White: 执白, Result: 负, Opponent: 陈耀烨
Player: 李昌镐, Date: 2005-05-16, Rating: 3518, Black and White: 执白, Result: 胜, Opponent: 王檄
Player: 李昌镐, Date: 2005-05-10, Rating: 3518, Black and White: 执黑, Result: 胜, Opponent: 金承俊
Player: 李昌镐, Date: 2005-05-03, Rating: 3518, Black and White: 执黑, Result: 负, Opponent: 周鹤洋
Player: 李昌镐, Date: 2005-05-02, Rating: 3518, Black and White: 执黑, Result: 胜, Opponent: 山下敬吾
Player: 李昌镐, Date: 2005-05-01, Rating: 3518, Black and White: 执黑, Result: 胜, Opponent: 林海峰
Player: 李昌镐, Date: 2005-04-27, Rating: 3518, Black and White: 执黑, Result: 胜, Opponent: 睦镇硕
Player: 李昌镐, Date: 2005-04-11, Rating: 3519, Black and White: 执黑, Result: 负, Opponent: 古力
Player: 李昌镐, Date: 2005-03-28, Rating: 3519, Black and White: 执黑, Result: 胜, Opponent: 李映九
Player: 李昌镐, Date: 2005-03-18, Rating: 3519, Black and White: 执黑, Result: 胜, Opponent: 周鹤洋
Player: 李昌镐, Date: 2005-03-16, Rating: 3519, Black and White: 执白, Result: 胜, Opponent: 周鹤洋
Player: 李昌镐, Date: 2005-03-14, Rating: 3519, Black and White: 执黑, Result: 负, Opponent: 周鹤洋
Player: 李昌镐, Date: 2005-03-07, Rating: 3519, Black and White: 执白, Result: 胜, Opponent: 李熙星
Player: 李昌镐, Date: 2005-02-26, Rating: 3519, Black and White: 执黑, Result: 胜, Opponent: 王檄
Player: 李昌镐, Date: 2005-02-25, Rating: 3519, Black and White: 执白, Result: 胜, Opponent: 王铭琬
Player: 李昌镐, Date: 2005-02-24, Rating: 3519, Black and White: 执白, Result: 胜, Opponent: 王磊
Player: 李昌镐, Date: 2005-02-23, Rating: 3519, Black and White: 执黑, Result: 胜, Opponent: 张栩
Player: 李昌镐, Date: 2005-02-19, Rating: 3519, Black and White: 执白, Result: 负, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2005-02-11, Rating: 3519, Black and White: 执黑, Result: 负, Opponent: 崔哲瀚
Player: 李昌镐, Date: 2005-01-24, Rating: 3519, Black and White: 执白, Result: 负, Opponent: 俞斌
Player: 李昌镐, Date: 2005-01-19, Rating: 3520, Black and White: 执白, Result: 胜, Opponent: 李相勋(小)
Player: 李昌镐, Date: 2005-01-13, Rating: 3520, Black and White: 执白, Result: 负, Opponent: 王立诚
Player: 李昌镐, Date: 2005-01-10, Rating: 3520, Black and White: 执白, Result: 负, Opponent: 崔哲瀚
Player: 李世石, Date: 2005-12-28, Rating: 3499, Black and White: 执黑, Result: 胜, Opponent: 洪钟贤
Player: 李世石, Date: 2005-12-26, Rating: 3499, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 李世石, Date: 2005-12-22, Rating: 3499, Black and White: 执黑, Result: 胜, Opponent: 尹炫皙
Player: 李世石, Date: 2005-12-13, Rating: 3499, Black and White: 执黑, Result: 胜, Opponent: 尹赫
Player: 李世石, Date: 2005-12-10, Rating: 3499, Black and White: 执黑, Result: 负, Opponent: 古力
Player: 李世石, Date: 2005-12-01, Rating: 3498, Black and White: 执白, Result: 胜, Opponent: 金主镐
Player: 李世石, Date: 2005-11-22, Rating: 3498, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 李世石, Date: 2005-11-20, Rating: 3498, Black and White: 执白, Result: 胜, Opponent: 睦镇硕
Player: 李世石, Date: 2005-11-15, Rating: 3497, Black and White: 执黑, Result: 负, Opponent: 罗洗河
Player: 李世石, Date: 2005-10-31, Rating: 3497, Black and White: 执白, Result: 负, Opponent: 朴永训
Player: 李世石, Date: 2005-10-29, Rating: 3497, Black and White: 执黑, Result: 负, Opponent: 朴永训
Player: 李世石, Date: 2005-10-29, Rating: 3497, Black and White: 执黑, Result: 胜, Opponent: 朴志恩
Player: 李世石, Date: 2005-10-27, Rating: 3497, Black and White: 执黑, Result: 胜, Opponent: 元晟溱
Player: 李世石, Date: 2005-10-19, Rating: 3497, Black and White: 执白, Result: 负, Opponent: 古力
Player: 李世石, Date: 2005-10-17, Rating: 3497, Black and White: 执白, Result: 胜, Opponent: 王煜辉
Player: 李世石, Date: 2005-10-08, Rating: 3496, Black and White: 执黑, Result: 胜, Opponent: 常昊
Player: 李世石, Date: 2005-10-04, Rating: 3496, Black and White: 执白, Result: 胜, Opponent: 金主镐
Player: 李世石, Date: 2005-10-02, Rating: 3496, Black and White: 执白, Result: 负, Opponent: 朴永训
Player: 李世石, Date: 2005-09-30, Rating: 3496, Black and White: 执黑, Result: 胜, Opponent: 依田纪基
Player: 李世石, Date: 2005-09-28, Rating: 3496, Black and White: 执黑, Result: 胜, Opponent: 高尾绅路
Player: 李世石, Date: 2005-09-22, Rating: 3496, Black and White: 执白, Result: 胜, Opponent: 尹峻相
Player: 李世石, Date: 2005-09-11, Rating: 3495, Black and White: 执白, Result: 负, Opponent: 曹薰铉
Player: 李世石, Date: 2005-08-28, Rating: 3495, Black and White: 执白, Result: 胜, Opponent: 宋泰坤
Player: 李世石, Date: 2005-08-23, Rating: 3495, Black and White: 执黑, Result: 胜, Opponent: 刘昌赫
Player: 李世石, Date: 2005-08-20, Rating: 3495, Black and White: 执黑, Result: 负, Opponent: 崔哲瀚
Player: 李世石, Date: 2005-08-18, Rating: 3495, Black and White: 执黑, Result: 胜, Opponent: 羽根直树
Player: 李世石, Date: 2005-08-16, Rating: 3495, Black and White: 执白, Result: 胜, Opponent: 王铭琬
Player: 李世石, Date: 2005-08-14, Rating: 3495, Black and White: 执黑, Result: 胜, Opponent: 林至涵
Player: 李世石, Date: 2005-08-10, Rating: 3494, Black and White: 执黑, Result: 胜, Opponent: 徐奉洙
Player: 李世石, Date: 2005-08-06, Rating: 3494, Black and White: 执白, Result: 胜, Opponent: 古力
Player: 李世石, Date: 2005-07-13, Rating: 3493, Black and White: 执白, Result: 负, Opponent: 赵汉乘
Player: 李世石, Date: 2005-07-10, Rating: 3493, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 李世石, Date: 2005-07-09, Rating: 3492, Black and White: 执黑, Result: 负, Opponent: 金成龙
Player: 李世石, Date: 2005-07-04, Rating: 3492, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 李世石, Date: 2005-07-02, Rating: 3492, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 李世石, Date: 2005-06-28, Rating: 3492, Black and White: 执黑, Result: 负, Opponent: 姜东润
Player: 李世石, Date: 2005-06-24, Rating: 3492, Black and White: 执白, Result: 胜, Opponent: 崔哲瀚
Player: 李世石, Date: 2005-06-19, Rating: 3492, Black and White: 执黑, Result: 负, Opponent: 刘昌赫
Player: 李世石, Date: 2005-06-14, Rating: 3491, Black and White: 执黑, Result: 负, Opponent: 金主镐
Player: 李世石, Date: 2005-06-12, Rating: 3491, Black and White: 执黑, Result: 胜, Opponent: 元晟溱
Player: 李世石, Date: 2005-06-04, Rating: 3491, Black and White: 执黑, Result: 胜, Opponent: 俞斌
Player: 李世石, Date: 2005-05-27, Rating: 3491, Black and White: 执白, Result: 负, Opponent: 尹峻相
Player: 李世石, Date: 2005-05-22, Rating: 3491, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 李世石, Date: 2005-05-18, Rating: 3491, Black and White: 执白, Result: 胜, Opponent: 山下敬吾
Player: 李世石, Date: 2005-05-16, Rating: 3491, Black and White: 执黑, Result: 胜, Opponent: 羽根直树
Player: 李世石, Date: 2005-05-10, Rating: 3491, Black and White: 执白, Result: 负, Opponent: 李映九
Player: 李世石, Date: 2005-05-09, Rating: 3491, Black and White: 执黑, Result: 胜, Opponent: 玄味真
Player: 李世石, Date: 2005-05-06, Rating: 3491, Black and White: 执白, Result: 负, Opponent: 高根台
Player: 李世石, Date: 2005-05-03, Rating: 3491, Black and White: 执白, Result: 胜, Opponent: 古力
Player: 李世石, Date: 2005-05-02, Rating: 3491, Black and White: 执白, Result: 胜, Opponent: 羽根直树
Player: 李世石, Date: 2005-05-01, Rating: 3491, Black and White: 执白, Result: 胜, Opponent: 王立诚
Player: 李世石, Date: 2005-04-29, Rating: 3491, Black and White: 执白, Result: 胜, Opponent: 睦镇硕
Player: 李世石, Date: 2005-04-21, Rating: 3491, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 李世石, Date: 2005-04-11, Rating: 3491, Black and White: 执白, Result: 胜, Opponent: 依田纪基
Player: 李世石, Date: 2005-04-09, Rating: 3491, Black and White: 执黑, Result: 胜, Opponent: 中小野田智己
Player: 李世石, Date: 2005-03-16, Rating: 3490, Black and White: 执白, Result: 胜, Opponent: 张秀英
Player: 李世石, Date: 2005-02-24, Rating: 3490, Black and White: 执黑, Result: 胜, Opponent: 梁宰豪
Player: 李世石, Date: 2005-02-17, Rating: 3490, Black and White: 执白, Result: 胜, Opponent: 梁宰豪
Player: 李世石, Date: 2005-02-01, Rating: 3489, Black and White: 执黑, Result: 负, Opponent: 梁宰豪
Player: 李世石, Date: 2005-01-14, Rating: 3489, Black and White: 执白, Result: 负, Opponent: 刘昌赫
Player: 李世石, Date: 2005-01-11, Rating: 3489, Black and White: 执白, Result: 胜, Opponent: 朴永训
Player: 李世石, Date: 2005-01-08, Rating: 3489, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 李世石, Date: 2005-01-07, Rating: 3489, Black and White: 执黑, Result: 负, Opponent: 常昊
Player: 李世石, Date: 2005-01-05, Rating: 3489, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 李世石, Date: 2005-01-02, Rating: 3489, Black and White: 执白, Result: 胜, Opponent: 睦镇硕
Player: 古力, Date: 2005-12-31, Rating: 3503, Black and White: 执白, Result: 胜, Opponent: 杨一80
Player: 古力, Date: 2005-12-26, Rating: 3503, Black and White: 执黑, Result: 胜, Opponent: 马笑冰
Player: 古力, Date: 2005-12-17, Rating: 3502, Black and White: 执白, Result: 胜, Opponent: 周鹤洋
Player: 古力, Date: 2005-12-15, Rating: 3502, Black and White: 执黑, Result: 胜, Opponent: 俞斌
Player: 古力, Date: 2005-12-13, Rating: 3501, Black and White: 执白, Result: 胜, Opponent: 俞斌
Player: 古力, Date: 2005-12-10, Rating: 3501, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 古力, Date: 2005-12-03, Rating: 3500, Black and White: 执黑, Result: 负, Opponent: 罗洗河
Player: 古力, Date: 2005-11-26, Rating: 3499, Black and White: 执白, Result: 胜, Opponent: 王垚
Player: 古力, Date: 2005-11-22, Rating: 3498, Black and White: 执白, Result: 胜, Opponent: 邱峻
Player: 古力, Date: 2005-11-19, Rating: 3498, Black and White: 执白, Result: 胜, Opponent: 朱松力
Player: 古力, Date: 2005-11-12, Rating: 3497, Black and White: 执黑, Result: 胜, Opponent: 朴文垚
Player: 古力, Date: 2005-11-05, Rating: 3496, Black and White: 执黑, Result: 负, Opponent: 常昊
Player: 古力, Date: 2005-11-02, Rating: 3495, Black and White: 执白, Result: 胜, Opponent: 刘世振
Player: 古力, Date: 2005-10-29, Rating: 3494, Black and White: 执黑, Result: 胜, Opponent: 丁伟
Player: 古力, Date: 2005-10-25, Rating: 3494, Black and White: 执白, Result: 负, Opponent: 周睿羊
Player: 古力, Date: 2005-10-23, Rating: 3493, Black and White: 执白, Result: 胜, Opponent: 黄奕中
Player: 古力, Date: 2005-10-19, Rating: 3493, Black and White: 执黑, Result: 胜, Opponent: 李世石
Player: 古力, Date: 2005-10-17, Rating: 3493, Black and White: 执黑, Result: 胜, Opponent: 周鹤洋
Player: 古力, Date: 2005-10-14, Rating: 3492, Black and White: 执黑, Result: 负, Opponent: 马晓春
Player: 古力, Date: 2005-10-08, Rating: 3491, Black and White: 执白, Result: 负, Opponent: 孔杰
Player: 古力, Date: 2005-10-06, Rating: 3491, Black and White: 执黑, Result: 胜, Opponent: 俞斌
Player: 古力, Date: 2005-09-30, Rating: 3490, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 古力, Date: 2005-09-28, Rating: 3489, Black and White: 执黑, Result: 胜, Opponent: 白洪淅
Player: 古力, Date: 2005-09-06, Rating: 3486, Black and White: 执黑, Result: 胜, Opponent: 余平
Player: 古力, Date: 2005-08-20, Rating: 3484, Black and White: 执白, Result: 负, Opponent: 余平
Player: 古力, Date: 2005-08-13, Rating: 3483, Black and White: 执黑, Result: 胜, Opponent: 马笑冰
Player: 古力, Date: 2005-08-06, Rating: 3482, Black and White: 执黑, Result: 负, Opponent: 李世石
Player: 古力, Date: 2005-07-22, Rating: 3480, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 古力, Date: 2005-07-21, Rating: 3480, Black and White: 执黑, Result: 胜, Opponent: 崔哲瀚
Player: 古力, Date: 2005-07-19, Rating: 3480, Black and White: 执白, Result: 负, Opponent: 崔哲瀚
Player: 古力, Date: 2005-07-09, Rating: 3478, Black and White: 执白, Result: 负, Opponent: 罗洗河
Player: 古力, Date: 2005-07-07, Rating: 3478, Black and White: 执白, Result: 负, Opponent: 谢赫
Player: 古力, Date: 2005-07-05, Rating: 3478, Black and White: 执黑, Result: 胜, Opponent: 胡耀宇
Player: 古力, Date: 2005-06-25, Rating: 3477, Black and White: 执白, Result: 胜, Opponent: 张东岳
Player: 古力, Date: 2005-06-18, Rating: 3476, Black and White: 执黑, Result: 负, Opponent: 朴文垚
Player: 古力, Date: 2005-06-14, Rating: 3476, Black and White: 执黑, Result: 负, Opponent: 依田纪基
Player: 古力, Date: 2005-06-11, Rating: 3476, Black and White: 执白, Result: 胜, Opponent: 刘世振
Player: 古力, Date: 2005-06-04, Rating: 3475, Black and White: 执黑, Result: 负, Opponent: 宋泰坤
Player: 古力, Date: 2005-05-31, Rating: 3475, Black and White: 执黑, Result: 负, Opponent: 刘星
Player: 古力, Date: 2005-05-29, Rating: 3475, Black and White: 执黑, Result: 胜, Opponent: 胡耀宇
Player: 古力, Date: 2005-05-27, Rating: 3475, Black and White: 执白, Result: 胜, Opponent: 朴永训
Player: 古力, Date: 2005-05-26, Rating: 3475, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 古力, Date: 2005-05-24, Rating: 3475, Black and White: 执白, Result: 负, Opponent: 朴永训
Player: 古力, Date: 2005-05-21, Rating: 3474, Black and White: 执黑, Result: 负, Opponent: 丁伟
Player: 古力, Date: 2005-05-18, Rating: 3474, Black and White: 执白, Result: 胜, Opponent: 小林光一
Player: 古力, Date: 2005-05-16, Rating: 3474, Black and White: 执白, Result: 胜, Opponent: 尹炫皙
Player: 古力, Date: 2005-05-11, Rating: 3474, Black and White: 执白, Result: 胜, Opponent: 邹俊杰
Player: 古力, Date: 2005-05-07, Rating: 3474, Black and White: 执白, Result: 负, Opponent: 马晓春
Player: 古力, Date: 2005-05-03, Rating: 3474, Black and White: 执黑, Result: 负, Opponent: 李世石
Player: 古力, Date: 2005-05-02, Rating: 3474, Black and White: 执白, Result: 胜, Opponent: 张栩
Player: 古力, Date: 2005-05-01, Rating: 3474, Black and White: 执黑, Result: 负, Opponent: 依田纪基
Player: 古力, Date: 2005-04-23, Rating: 3474, Black and White: 执黑, Result: 负, Opponent: 常昊
Player: 古力, Date: 2005-04-21, Rating: 3474, Black and White: 执白, Result: 胜, Opponent: 孔杰
Player: 古力, Date: 2005-04-19, Rating: 3474, Black and White: 执白, Result: 胜, Opponent: 常昊
Player: 古力, Date: 2005-04-18, Rating: 3474, Black and White: 执白, Result: 负, Opponent: 小林光一
Player: 古力, Date: 2005-04-16, Rating: 3474, Black and White: 执黑, Result: 负, Opponent: 赵哲伦
Player: 古力, Date: 2005-04-11, Rating: 3474, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 古力, Date: 2005-04-09, Rating: 3474, Black and White: 执黑, Result: 胜, Opponent: 卡塔林
Player: 古力, Date: 2005-04-05, Rating: 3474, Black and White: 执白, Result: 胜, Opponent: 周鹤洋
Player: 古力, Date: 2005-04-04, Rating: 3474, Black and White: 执白, Result: 负, Opponent: 周鹤洋
Player: 古力, Date: 2005-04-02, Rating: 3474, Black and White: 执黑, Result: 胜, Opponent: 周鹤洋
Player: 古力, Date: 2005-03-10, Rating: 3475, Black and White: 执白, Result: 胜, Opponent: 牛雨田
Player: 古力, Date: 2005-02-26, Rating: 3475, Black and White: 执黑, Result: 胜, Opponent: 周俊勋
Player: 古力, Date: 2005-02-22, Rating: 3475, Black and White: 执黑, Result: 胜, Opponent: 尹航
Player: 古力, Date: 2005-02-21, Rating: 3475, Black and White: 执白, Result: 胜, Opponent: 尹航
Player: 古力, Date: 2005-01-22, Rating: 3475, Black and White: 执黑, Result: 负, Opponent: 常昊
Player: 古力, Date: 2005-01-17, Rating: 3475, Black and White: 执白, Result: 负, Opponent: 邵炜刚
Player: 崔哲瀚, Date: 2005-12-19, Rating: 3469, Black and White: 执白, Result: 负, Opponent: 朴永训
Player: 崔哲瀚, Date: 2005-12-18, Rating: 3469, Black and White: 执白, Result: 负, Opponent: 朴永训
Player: 崔哲瀚, Date: 2005-12-16, Rating: 3469, Black and White: 执黑, Result: 负, Opponent: 罗洗河
Player: 崔哲瀚, Date: 2005-12-15, Rating: 3469, Black and White: 执黑, Result: 胜, Opponent: 罗洗河
Player: 崔哲瀚, Date: 2005-12-13, Rating: 3469, Black and White: 执白, Result: 负, Opponent: 罗洗河
Player: 崔哲瀚, Date: 2005-12-11, Rating: 3469, Black and White: 执黑, Result: 胜, Opponent: 睦镇硕
Player: 崔哲瀚, Date: 2005-12-04, Rating: 3470, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 崔哲瀚, Date: 2005-12-01, Rating: 3470, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 崔哲瀚, Date: 2005-11-21, Rating: 3471, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 崔哲瀚, Date: 2005-11-16, Rating: 3471, Black and White: 执白, Result: 胜, Opponent: 曹薰铉
Player: 崔哲瀚, Date: 2005-11-13, Rating: 3471, Black and White: 执黑, Result: 胜, Opponent: 曹薰铉
Player: 崔哲瀚, Date: 2005-11-12, Rating: 3471, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 崔哲瀚, Date: 2005-10-16, Rating: 3472, Black and White: 执白, Result: 胜, Opponent: 刘昌赫
Player: 崔哲瀚, Date: 2005-10-13, Rating: 3472, Black and White: 执白, Result: 负, Opponent: 金主镐
Player: 崔哲瀚, Date: 2005-10-12, Rating: 3472, Black and White: 执黑, Result: 胜, Opponent: 宋泰坤
Player: 崔哲瀚, Date: 2005-10-11, Rating: 3472, Black and White: 执白, Result: 胜, Opponent: 许映皓
Player: 崔哲瀚, Date: 2005-10-10, Rating: 3472, Black and White: 执白, Result: 胜, Opponent: 郑寿铉
Player: 崔哲瀚, Date: 2005-10-10, Rating: 3472, Black and White: 执黑, Result: 胜, Opponent: 朴之勋
Player: 崔哲瀚, Date: 2005-10-07, Rating: 3472, Black and White: 执黑, Result: 胜, Opponent: 孙根气
Player: 崔哲瀚, Date: 2005-10-06, Rating: 3472, Black and White: 执白, Result: 胜, Opponent: 李昌镐
Player: 崔哲瀚, Date: 2005-10-04, Rating: 3472, Black and White: 执黑, Result: 胜, Opponent: 睦镇硕
Player: 崔哲瀚, Date: 2005-09-30, Rating: 3472, Black and White: 执黑, Result: 胜, Opponent: 羽根直树
Player: 崔哲瀚, Date: 2005-09-28, Rating: 3472, Black and White: 执白, Result: 胜, Opponent: 李喆
Player: 崔哲瀚, Date: 2005-09-21, Rating: 3472, Black and White: 执黑, Result: 负, Opponent: 李昌镐
Player: 崔哲瀚, Date: 2005-09-14, Rating: 3472, Black and White: 执黑, Result: 负, Opponent: 金主镐
Player: 崔哲瀚, Date: 2005-09-08, Rating: 3472, Black and White: 执白, Result: 负, Opponent: 李昌镐
Player: 崔哲瀚, Date: 2005-09-04, Rating: 3472, Black and White: 执黑, Result: 胜, Opponent: 李昌镐
Player: 崔哲瀚, Date: 2005-09-01, Rating: 3472, Black and White: 执白, Result: 胜, Opponent: 李圣宰
Player: 崔哲瀚, Date: 2005-08-24, Rating: 3472, Black and White: 执黑, Result: 胜, Opponent: 朴永训
Player: 崔哲瀚, Date: 2005-08-21, Rating: 3472, Black and White: 执黑, Result: 胜, Opponent: 睦镇硕
Player: 崔哲瀚, Date: 2005-08-20, Rating: 3472, Black and White: 执白, Result: 胜, Opponent: 李世石
Player: 崔哲瀚, Date: 2005-08-18, Rating: 3472, Black and White: 执白, Result: 胜, Opponent: 依田纪基
Player: 崔哲瀚, Date: 2005-08-16, Rating: 3472, Black and White: 执白, Result: 胜, Opponent: 山下敬吾
Player: 崔哲瀚, Date: 2005-08-14, Rating: 3472, Black and White: 执白, Result: 胜, Opponent: 赵治勋
Player: 崔哲瀚, Date: 2005-08-11, Rating: 3471, Black and White: 执黑, Result: 负, Opponent: 朴永训
Player: 崔哲瀚, Date: 2005-08-10, Rating: 3471, Black and White: 执黑, Result: 负, Opponent: 金大容
Player: 崔哲瀚, Date: 2005-08-08, Rating: 3471, Black and White: 执白, Result: 胜, Opponent: 江铸久
Player: 崔哲瀚, Date: 2005-08-05, Rating: 3471, Black and White: 执白, Result: 胜, Opponent: 宋泰坤
Player: 崔哲瀚, Date: 2005-07-29, Rating: 3471, Black and White: 执白, Result: 胜, Opponent: 朴升哲
Player: 崔哲瀚, Date: 2005-07-22, Rating: 3470, Black and White: 执白, Result: 负, Opponent: 古力
Player: 崔哲瀚, Date: 2005-07-21, Rating: 3470, Black and White: 执白, Result: 负, Opponent: 古力
Player: 崔哲瀚, Date: 2005-07-19, Rating: 3470, Black and White: 执黑, Result: 胜, Opponent: 古力
